Destinatio,Origin,Population,id,iso_n3
Netherlands,Lao People's Dem. Rep.,"33","2108","418"
Belgium,Lao People's Dem. Rep.,"12","319","418"
Canada,Lao People's Dem. Rep.,"5","581","418"
Canada,Latvia,"78","582","428"
France,Latvia,"33","1122","428"
USA,Latvia,"19","3287","428"
Germany,Latvia,"8","1271","428"
Sweden,Latvia,"5","2777","428"
Uruguay,Latvia,"5","3368","428"
Germany,Lebanon,"1492","1272","422"
Canada,Lebanon,"938","583","422"
Australia,Lebanon,"551","127","422"
Sweden,Lebanon,"528","2778","422"
Brazil,Lebanon,"407","423","422"
USA,Lebanon,"383","3288","422"
Italy,Lebanon,"319","1674","422"
UK,Lebanon,"160","3146","422"
France,Lebanon,"137","1123","422"
Belgium,Lebanon,"120","320","422"
USA,Lesotho,"6","3289","426"
USA,Liberia,"1216","3290","430"
Cote d'Ivoire,Liberia,"899","759","430"
Ghana,Liberia,"735","1346","430"
Sierra Leone,Liberia,"660","2575","430"
Italy,Liberia,"342","1675","430"
Guinea,Liberia,"306","1433","430"
Brazil,Liberia,"259","424","430"
France,Liberia,"234","1124","430"
Angola,Liberia,"155","27","430"
Canada,Liberia,"92","584","430"
Malta,Libya,"2579","1951","434"
UK,Libya,"2505","3148","434"
Germany,Libya,"1542","1274","434"
Canada,Libya,"1220","585","434"
Australia,Libya,"1029","129","434"
Italy,Libya,"995","1676","434"
France,Libya,"622","1125","434"
Sweden,Libya,"400","2780","434"
USA,Libya,"319","3291","434"
Switz.,Libya,"303","2878","434"
Canada,Lithuania,"21","586","440"
USA,Lithuania,"20","3292","440"
France,Lithuania,"9","1126","440"
Belgium,Lithuania,"5","323","440"
France,Madagascar,"219","1127","450"
Canada,Madagascar,"18","587","450"
Italy,Madagascar,"18","1677","450"
USA,Madagascar,"15","3293","450"
Switz.,Madagascar,"5","2879","450"
UK,Malawi,"323","3149","454"
Ireland,Malawi,"51","1585","454"
USA,Malawi,"34","3294","454"
Canada,Malawi,"16","588","454"
Australia,Malaysia,"326","130","458"
UK,Malaysia,"146","3150","458"
USA,Malaysia,"97","3295","458"
Canada,Malaysia,"30","589","458"
Germany,Malaysia,"11","1275","458"
France,Malaysia,"10","1128","458"
Sweden,Malaysia,"8","2781","458"
Netherlands,Malaysia,"7","2112","458"
NZ,Malaysia,"5","2165","458"
UK,Maldives,"37","3151","462"
Australia,Maldives,"10","131","462"
Sri Lanka,Maldives,"7","2704","462"
USA,Maldives,"6","3296","462"
Niger,Mali,"58035","2192","466"
Mauritania,Mali,"56494","1975","466"
Burk. Faso,Mali,"24392","474","466"
Italy,Mali,"14309","1678","466"
France,Mali,"4559","1129","466"
USA,Mali,"1200","3297","466"
Germany,Mali,"249","1276","466"
Canada,Mali,"153","590","466"
Nigeria,Mali,"137","2209","466"
Belgium,Mali,"100","324","466"
USA,Marshall Islands,"7","3298","584"
Mali,Mauritania,"15318","1933","478"
Senegal,Mauritania,"13779","2560","478"
France,Mauritania,"5367","1130","478"
USA,Mauritania,"974","3299","478"
Italy,Mauritania,"346","1679","478"
Angola,Mauritania,"306","28","478"
Belgium,Mauritania,"257","325","478"
Canada,Mauritania,"162","591","478"
Greece,Mauritania,"50","1393","478"
Germany,Mauritania,"35","1277","478"
UK,Mauritius,"44","3154","480"
USA,Mauritius,"34","3300","480"
France,Mauritius,"20","1131","480"
Italy,Mauritius,"17","1680","480"
Canada,Mauritius,"8","592","480"
Australia,Mauritius,"7","132","480"
Ireland,Mauritius,"7","1587","480"
USA,Mexico,"8553","3301","484"
Canada,Mexico,"3627","593","484"
France,Mexico,"24","1132","484"
Spain,Mexico,"20","2681","484"
Germany,Mexico,"19","1278","484"
UK,Mexico,"12","3155","484"
Australia,Mexico,"10","133","484"
Brazil,Mexico,"6","427","484"
Costa Rica,Mexico,"6","746","484"
Trin. & Tob.,Mexico,"6","2979","484"
USA,Mongolia,"766","3302","496"
France,Mongolia,"427","1133","496"
Sweden,Mongolia,"309","2784","496"
Austria,Mongolia,"160","213","496"
Canada,Mongolia,"157","594","496"
Switz.,Mongolia,"124","2882","496"
Germany,Mongolia,"118","1279","496"
UK,Mongolia,"75","3156","496"
Netherlands,Mongolia,"39","2115","496"
Australia,Mongolia,"25","134","496"
Germany,Montenegro,"283","1280","499"
USA,Montenegro,"117","3303","499"
France,Montenegro,"89","1134","499"
Italy,Montenegro,"83","1682","499"
Switz.,Montenegro,"50","2883","499"
Sweden,Montenegro,"35","2785","499"
Canada,Montenegro,"21","595","499"
Lux.,Montenegro,"18","1883","499"
Belgium,Montenegro,"10","326","499"
Austria,Montenegro,"8","214","499"
Italy,Morocco,"946","1683","504"
Germany,Morocco,"675","1281","504"
France,Morocco,"539","1135","504"
Sweden,Morocco,"237","2786","504"
UK,Morocco,"173","3157","504"
Canada,Morocco,"152","596","504"
Spain,Morocco,"145","2682","504"
Greece,Morocco,"132","1394","504"
Belgium,Morocco,"123","327","504"
USA,Morocco,"114","3304","504"
France,Mozambique,"11","1136","508"
Germany,Mozambique,"11","1282","508"
Kenya,Mozambique,"7","1765","508"
Ireland,Mozambique,"6","1590","508"
UK,Mozambique,"5","3158","508"
Bangladesh,Myanmar,"943228","257","104"
Malaysia,Myanmar,"106385","1914","104"
Thailand,Myanmar,"97444","2952","104"
India,Myanmar,"18648","1512","104"
USA,Myanmar,"1571","3305","104"
Japan,Myanmar,"1255","1730","104"
Germany,Myanmar,"860","1283","104"
UK,Myanmar,"772","3159","104"
Indonesia,Myanmar,"753","1529","104"
Netherlands,Myanmar,"650","2117","104"
Botswana,Namibia,"896","385","516"
Canada,Namibia,"369","598","516"
USA,Namibia,"45","3306","516"
UK,Namibia,"36","3160","516"
USA,Nepal,"6947","3307","524"
Canada,Nepal,"594","599","524"
Netherlands,Nepal,"267","2118","524"
Australia,Nepal,"171","137","524"
France,Nepal,"130","1138","524"
Italy,Nepal,"107","1685","524"
Germany,Nepal,"51","1284","524"
Austria,Nepal,"38","217","524"
UK,Nepal,"29","3161","524"
Switz.,Nepal,"20","2886","524"
Germany,Netherlands,"23","1285","528"
USA,Netherlands,"12","3308","528"
Australia,New Zealand,"26","138","554"
Germany,New Zealand,"8","1286","554"
USA,Nicaragua,"584","3309","558"
Costa Rica,Nicaragua,"461","747","558"
Panama,Nicaragua,"173","2299","558"
Guatemala,Nicaragua,"100","1427","558"
Canada,Nicaragua,"82","600","558"
Mexico,Nicaragua,"29","2002","558"
Colombia,Nicaragua,"14","723","558"
Italy,Nicaragua,"14","1686","558"
Spain,Nicaragua,"12","2684","558"
Sweden,Nicaragua,"9","2789","558"
Chad,Niger,"594","680","562"
Italy,Niger,"510","1687","562"
USA,Niger,"143","3310","562"
Belgium,Niger,"119","330","562"
France,Niger,"74","1139","562"
Canada,Niger,"58","601","562"
Germany,Niger,"53","1287","562"
Switz.,Niger,"12","2887","562"
Austria,Niger,"9","218","562"
Netherlands,Niger,"6","2119","562"
Niger,Nigeria,"118851","2193","566"
Cameroon,Nigeria,"97086","498","566"
Italy,Nigeria,"20660","1688","566"
Chad,Nigeria,"10294","681","566"
Germany,Nigeria,"5591","1288","566"
Canada,Nigeria,"5088","602","566"
UK,Nigeria,"2355","3163","566"
France,Nigeria,"2252","1140","566"
USA,Nigeria,"1354","3311","566"
Sweden,Nigeria,"516","2790","566"
USA,Niue,"19","3312","570"
UK,Oman,"11","3164","512"
Germany,Oman,"9","1289","512"
Canada,Oman,"8","603","512"
Afghanistan,Pakistan,"78351","1","586"
Italy,Pakistan,"17247","1689","586"
UK,Pakistan,"7277","3165","586"
Germany,Pakistan,"7121","1290","586"
Canada,Pakistan,"5356","604","586"
Australia,Pakistan,"4819","140","586"
USA,Pakistan,"3501","3313","586"
Thailand,Pakistan,"2053","2954","586"
France,Pakistan,"1487","1141","586"
Malaysia,Pakistan,"1292","1916","586"
Egypt,Palestinian,"70020","958","275"
Iraq,Palestinian,"7947","1546","275"
Libya,Palestinian,"5303","1832","275"
Algeria,Palestinian,"4013","15","275"
Cyprus,Palestinian,"1978","806","275"
Turkey,Palestinian,"1222","3014","275"
Italy,Palestinian,"1021","1690","275"
Sweden,Palestinian,"1010","2792","275"
Canada,Palestinian,"979","605","275"
Spain,Palestinian,"949","2687","275"
Canada,Panama,"19","606","591"
USA,Panama,"15","3314","591"
Australia,Papua New Guinea,"421","142","598"
USA,Paraguay,"21","3315","600"
Canada,Paraguay,"18","607","600"
Argentina,Paraguay,"8","65","600"
Brazil,Paraguay,"8","433","600"
France,Paraguay,"6","1143","600"
Argentina,Peru,"546","66","604"
Bolivia,Peru,"515","375","604"
USA,Peru,"510","3316","604"
France,Peru,"303","1144","604"
Canada,Peru,"236","608","604"
Chile,Peru,"113","696","604"
Ecuador,Peru,"81","933","604"
Italy,Peru,"79","1691","604"
Brazil,Peru,"45","434","604"
Germany,Peru,"39","1291","604"
USA,Philippines,"160","3317","608"
Canada,Philippines,"95","609","608"
Italy,Philippines,"54","1692","608"
Australia,Philippines,"47","144","608"
Germany,Philippines,"26","1292","608"
UK,Philippines,"24","3167","608"
Malaysia,Philippines,"18","1918","608"
Cyprus,Philippines,"12","807","608"
Austria,Philippines,"11","221","608"
Greece,Philippines,"7","1400","608"
Germany,Poland,"658","1293","616"
France,Poland,"139","1145","616"
Belgium,Poland,"130","334","616"
Canada,Poland,"126","610","616"
USA,Poland,"19","3318","616"
Germany,Portugal,"6","1294","620"
USA,Qatar,"13","3319","634"
Canada,Qatar,"12","611","634"
UK,Qatar,"6","3168","634"
Canada,Rep. of Korea,"101","612","410"
Australia,Rep. of Korea,"43","145","410"
Germany,Rep. of Korea,"43","1295","410"
USA,Rep. of Korea,"32","3320","410"
Sweden,Rep. of Korea,"7","2795","410"
UK,Rep. of Korea,"7","3169","410"
USA,Rep. of Moldova,"1449","3321","498"
France,Rep. of Moldova,"320","1146","498"
Canada,Rep. of Moldova,"125","613","498"
Ireland,Rep. of Moldova,"105","1595","498"
Italy,Rep. of Moldova,"100","1693","498"
Germany,Rep. of Moldova,"93","1296","498"
Austria,Rep. of Moldova,"58","222","498"
Russia,Rep. of Moldova,"28","2522","498"
Czechia,Rep. of Moldova,"25","844","498"
Cyprus,Rep. of Moldova,"18","808","498"
USA,Romania,"388","3322","642"
Canada,Romania,"198","614","642"
Germany,Romania,"156","1297","642"
France,Romania,"148","1147","642"
Czechia,Romania,"81","845","642"
Sweden,Romania,"61","2797","642"
Argentina,Romania,"51","67","642"
Slovakia,Romania,"37","2591","642"
Belgium,Romania,"36","336","642"
Switz.,Romania,"20","2893","642"
France,Russian Federation,"15721","1148","643"
Austria,Russian Federation,"10568","224","643"
Poland,Russian Federation,"9902","2390","643"
Germany,Russian Federation,"7665","1298","643"
USA,Russian Federation,"5618","3323","643"
Belgium,Russian Federation,"2857","337","643"
Sweden,Russian Federation,"1597","2798","643"
Denmark,Russian Federation,"976","896","643"
Canada,Russian Federation,"912","615","643"
Norway,Russian Federation,"879","2258","643"
DRC,Rwanda,"218480","864","646"
Uganda,Rwanda,"13773","3041","646"
France,Rwanda,"2845","1149","646"
Malawi,Rwanda,"1996","1900","646"
S. Africa,Rwanda,"1297","2631","646"
USA,Rwanda,"1102","3324","646"
Canada,Rwanda,"974","616","646"
Congo,Rwanda,"949","736","646"
Belgium,Rwanda,"886","338","646"
Cameroon,Rwanda,"859","499","646"
Canada,Saint Kitts and Nevis,"45","617",
UK,Saint Kitts and Nevis,"8","3173","659"
Canada,Saint Lucia,"980","618",
UK,Saint Lucia,"20","3174","659"
USA,Saint Lucia,"9","3325",
Canada,Saint Vincent and the Grenadines,"1223","619","670"
USA,Saint Vincent and the Grenadines,"31","3326","670"
UK,Saint Vincent and the Grenadines,"19","3175","670"
Gabon,Sao Tome and Principe,"26","1183","678"
USA,Saudi Arabia,"440","3327","682"
Canada,Saudi Arabia,"355","620","682"
UK,Saudi Arabia,"147","3176","682"
Germany,Saudi Arabia,"125","1300","682"
Australia,Saudi Arabia,"94","149","682"
NZ,Saudi Arabia,"59","2171","682"
Sweden,Saudi Arabia,"48","2800","682"
Netherlands,Saudi Arabia,"13","2126","682"
France,Saudi Arabia,"12","1150","682"
Syria,Saudi Arabia,"11","2934","682"
Guinea-Bissau,Senegal,"10000","1447","686"
Gambia,Senegal,"8017","1190","686"
Italy,Senegal,"7152","1697","686"
France,Senegal,"1213","1151","686"
Belgium,Senegal,"443","340","686"
USA,Senegal,"399","3328","686"
Canada,Senegal,"243","621","686"
Germany,Senegal,"160","1301","686"
UK,Senegal,"91","3177","686"
Morocco,Senegal,"69","2030","686"
France,Serbia and Kosovo: S/RES/1244 (1999),"13483","1152","688"
Germany,Serbia and Kosovo: S/RES/1244 (1999),"9173","1302","688"
Switz.,Serbia and Kosovo: S/RES/1244 (1999),"2687","2897","688"
Sweden,Serbia and Kosovo: S/RES/1244 (1999),"1281","2802","688"
Italy,Serbia and Kosovo: S/RES/1244 (1999),"1167","1698","688"
Austria,Serbia and Kosovo: S/RES/1244 (1999),"1068","227","688"
USA,Serbia and Kosovo: S/RES/1244 (1999),"976","3329","688"
Montenegro,Serbia and Kosovo: S/RES/1244 (1999),"770","2016","688"
Macedonia,Serbia and Kosovo: S/RES/1244 (1999),"394","2963","688"
Canada,Serbia and Kosovo: S/RES/1244 (1999),"299","622","688"
Canada,Seychelles,"5","623","690"
Germany,Sierra Leone,"682","1303","694"
Italy,Sierra Leone,"652","1699","694"
France,Sierra Leone,"549","1153","694"
USA,Sierra Leone,"513","3330","694"
Netherlands,Sierra Leone,"477","2129","694"
Angola,Sierra Leone,"374","30","694"
UK,Sierra Leone,"305","3179","694"
Guinea,Sierra Leone,"216","1437","694"
Brazil,Sierra Leone,"158","439","694"
Gambia,Sierra Leone,"122","1191","694"
Canada,Singapore,"15","625","702"
USA,Singapore,"14","3331","702"
Germany,Singapore,"7","1304","702"
Australia,Singapore,"6","151","702"
Canada,Slovakia,"871","626","703"
France,Slovakia,"116","1154","703"
Germany,Slovakia,"86","1305","703"
USA,Slovakia,"9","3332","703"
Sweden,Slovakia,"6","2804","703"
Germany,Slovenia,"7","1306","705"
USA,Slovenia,"6","3333","705"
Canada,Slovenia,"5","627","705"
Australia,Solomon Islands,"21","152","090"
Canada,Solomon Islands,"17","628","090"
Germany,Solomon Islands,"7","1307","090"
Ethiopia,Somalia,"256378","1001","706"
Yemen,Somalia,"256363","3393","706"
Kenya,Somalia,"251430","1769","706"
S. Africa,Somalia,"27113","2632","706"
Germany,Somalia,"22031","1308","706"
Sweden,Somalia,"21541","2805","706"
Uganda,Somalia,"18678","3043","706"
Netherlands,Somalia,"14735","2130","706"
Italy,Somalia,"14547","1700","706"
Djibouti,Somalia,"12084","912","706"
UK,South Africa,"165","3181","710"
Canada,South Africa,"66","630","710"
Ireland,South Africa,"51","1602","710"
USA,South Africa,"41","3335","710"
France,South Africa,"36","1156","710"
Australia,South Africa,"35","154","710"
Germany,South Africa,"17","1309","710"
Switz.,South Africa,"14","2900","710"
NZ,South Africa,"10","2173","710"
Italy,South Africa,"8","1701","710"
Uganda,South Sudan,"784531","3044","728"
Sudan,South Sudan,"768125","2722","728"
Ethiopia,South Sudan,"444982","1002","728"
Kenya,South Sudan,"114389","1770","728"
DRC,South Sudan,"93087","866","728"
Egypt,South Sudan,"6275","961","728"
CAR,South Sudan,"2523","669","728"
Israel,South Sudan,"126","1621","728"
Syria,South Sudan,"106","2937","728"
Germany,South Sudan,"72","1310","728"
Germany,Spain,"17","1311","724"
USA,Spain,"13","3337","724"
Canada,Spain,"6","632","724"
India,Sri Lanka,"61313","1516","144"
France,Sri Lanka,"23941","1158","144"
Switz.,Sri Lanka,"5672","2902","144"
UK,Sri Lanka,"5606","3183","144"
Australia,Sri Lanka,"4673","156","144"
Canada,Sri Lanka,"3933","633","144"
Germany,Sri Lanka,"3817","1312","144"
USA,Sri Lanka,"1262","3338","144"
Malaysia,Sri Lanka,"956","1920","144"
Netherlands,Sri Lanka,"662","2131","144"
Chad,Sudan,"331839","685","729"
S. Africa,Sudan,"275752","2643","729"
Ethiopia,Sudan,"43758","1003","729"
Egypt,Sudan,"18589","962","729"
France,Sudan,"12762","1159","729"
UK,Sudan,"8290","3184","729"
Kenya,Sudan,"3084","1772","729"
Uganda,Sudan,"2749","3045","729"
Jordan,Sudan,"2670","1751","729"
Germany,Sudan,"2252","1313","729"
USA,Suriname,"12","3340","740"
Canada,Suriname,"7","635","740"
Germany,Sweden,"9","1314","752"
USA,Sweden,"8","3341","752"
Turkey,Syrian Arab Rep.,"3562523","3021","760"
Lebanon,Syrian Arab Rep.,"968083","1811","760"
Jordan,Syrian Arab Rep.,"667186","1752","760"
Germany,Syrian Arab Rep.,"513976","1315","760"
Iraq,Syrian Arab Rep.,"251157","1548","760"
Egypt,Syrian Arab Rep.,"129737","963","760"
Sweden,Syrian Arab Rep.,"104897","2809","760"
Austria,Syrian Arab Rep.,"46833","233","760"
Netherlands,Syrian Arab Rep.,"31459","2133","760"
Greece,Syrian Arab Rep.,"21835","1412","760"
Germany,Tajikistan,"607","1316","762"
USA,Tajikistan,"296","3343","762"
Austria,Tajikistan,"206","234","762"
Poland,Tajikistan,"69","2395","762"
Sweden,Tajikistan,"58","2810","762"
Canada,Tajikistan,"49","637","762"
France,Tajikistan,"48","1161","762"
Lithuania,Tajikistan,"45","1858","762"
Netherlands,Tajikistan,"34","2134","762"
Russia,Tajikistan,"26","2525","762"
USA,Thailand,"34","3344","764"
UK,Thailand,"29","3187","764"
Malaysia,Thailand,"27","1923","764"
Germany,Thailand,"25","1317","764"
Australia,Thailand,"16","159","764"
Canada,Thailand,"16","638","764"
Sweden,Thailand,"7","2811","764"
France,Thailand,"6","1162","764"
Germany,The former Yugoslav Republic of Macedonia,"660","1318","807"
France,The former Yugoslav Republic of Macedonia,"346","1163","807"
Switz.,The former Yugoslav Republic of Macedonia,"177","2906","807"
Belgium,The former Yugoslav Republic of Macedonia,"147","348","807"
USA,The former Yugoslav Republic of Macedonia,"118","3345","807"
Italy,The former Yugoslav Republic of Macedonia,"68","1707","807"
Austria,The former Yugoslav Republic of Macedonia,"67","235","807"
Sweden,The former Yugoslav Republic of Macedonia,"53","2812","807"
Canada,The former Yugoslav Republic of Macedonia,"48","639","807"
UK,The former Yugoslav Republic of Macedonia,"21","3188","807"
Australia,Timor-Leste,"8","160","626"
Ghana,Togo,"3430","1356","768"
Germany,Togo,"1082","1319","768"
Italy,Togo,"960","1708","768"
France,Togo,"730","1164","768"
Switz.,Togo,"653","2907","768"
USA,Togo,"591","3346","768"
Belgium,Togo,"197","349","768"
Canada,Togo,"118","640","768"
Ireland,Togo,"37","1607","768"
Brazil,Togo,"36","446","768"
Australia,Tonga,"33","161","776"
Canada,Trinidad and Tobago,"124","641","780"
UK,Trinidad and Tobago,"71","3190","780"
Netherlands,Trinidad and Tobago,"63","2136","780"
USA,Trinidad and Tobago,"54","3347","780"
Italy,Tunisia,"640","1709","788"
France,Tunisia,"309","1165","788"
Switz.,Tunisia,"261","2908","788"
Canada,Tunisia,"187","642","788"
Germany,Tunisia,"181","1320","788"
USA,Tunisia,"64","3348","788"
Sweden,Tunisia,"54","2814","788"
Belgium,Tunisia,"48","350","788"
UK,Tunisia,"43","3191","788"
Greece,Tunisia,"19","1414","788"
Germany,Turkey,"22684","1321","792"
Iraq,Turkey,"15556","1549","792"
France,Turkey,"10849","1166","792"
Canada,Turkey,"3676","643","792"
Switz.,Turkey,"3459","2909","792"
Italy,Turkey,"2481","1710","792"
Belgium,Turkey,"1409","351","792"
UK,Turkey,"930","3192","792"
Austria,Turkey,"701","238","792"
Netherlands,Turkey,"656","2138","792"
USA,Turkmenistan,"168","3350","795"
Germany,Turkmenistan,"78","1322","795"
Poland,Turkmenistan,"34","2397","795"
France,Turkmenistan,"22","1167","795"
Canada,Turkmenistan,"13","644","795"
Sweden,Turkmenistan,"11","2816","795"
UK,Turkmenistan,"11","3193","795"
Austria,Turkmenistan,"8","239","795"
Norway,Turkmenistan,"8","2269","795"
Russia,Turkmenistan,"6","2527","795"
USA,Turks and Caicos Islands,"14","3351",
USA,Uganda,"1440","3352","800"
UK,Uganda,"1166","3194","800"
Sweden,Uganda,"681","2817","800"
Kenya,Uganda,"646","1773","800"
S. Africa,Uganda,"549","2635","800"
Canada,Uganda,"548","645","800"
Netherlands,Uganda,"532","2139","800"
Germany,Uganda,"177","1323","800"
France,Uganda,"123","1168","800"
Norway,Uganda,"117","2270","800"
Russia,Ukraine,"101986","2528","804"
Italy,Ukraine,"5538","1712","804"
Belarus,Ukraine,"2206","269","804"
USA,Ukraine,"2074","3353","804"
France,Ukraine,"1650","1169","804"
Canada,Ukraine,"1246","646","804"
Germany,Ukraine,"715","1324","804"
Georgia,Ukraine,"635","1202","804"
Spain,Ukraine,"485","2697","804"
Czechia,Ukraine,"444","856","804"
USA,United Arab Emirates,"45","3354","784"
Canada,United Arab Emirates,"38","647","784"
Germany,United Arab Emirates,"32","1325","784"
UK,United Arab Emirates,"19","3196","784"
Australia,United Arab Emirates,"7","165","784"
Turkey,United Arab Emirates,"6","3026","784"
USA,United Kingdom,"38","3355","826"
Germany,United Kingdom,"18","1326","826"
Canada,United Kingdom,"11","648","826"
Sweden,United Kingdom,"7","2819","826"
Australia,United Kingdom,"5","166","826"
Malaysia,United Kingdom,"5","1924","826"
Canada,United Rep. of Tanzania,"158","649","834"
USA,United Rep. of Tanzania,"132","3356","834"
UK,United Rep. of Tanzania,"86","3197","834"
Belgium,United Rep. of Tanzania,"61","355","834"
Germany,United Rep. of Tanzania,"47","1327","834"
Sweden,United Rep. of Tanzania,"43","2820","834"
S. Africa,United Rep. of Tanzania,"37","2636","834"
Italy,United Rep. of Tanzania,"27","1713","834"
Switz.,United Rep. of Tanzania,"18","2912","834"
Australia,United Rep. of Tanzania,"14","167","834"
Germany,United States of America,"141","1328","840"
UK,United States of America,"50","3198","840"
Canada,United States of America,"46","650","840"
Sweden,United States of America,"19","2821","840"
Australia,United States of America,"18","168","840"
Malaysia,United States of America,"9","1925","840"
Ecuador,United States of America,"7","940","840"
Canada,Uruguay,"7","651","858"
USA,Uzbekistan,"1219","3357","860"
Sweden,Uzbekistan,"608","2822","860"
Norway,Uzbekistan,"226","2272","860"
France,Uzbekistan,"212","1171","860"
Canada,Uzbekistan,"177","652","860"
Germany,Uzbekistan,"104","1329","860"
Czechia,Uzbekistan,"99","857","860"
Austria,Uzbekistan,"96","242","860"
UK,Uzbekistan,"70","3199","860"
Russia,Uzbekistan,"67","2529","860"
USA,Venezuela (Bolivarian Republic of),"8074","3358","862"
Canada,Venezuela (Bolivarian Republic of),"1564","653","862"
Mexico,Venezuela (Bolivarian Republic of),"1220","2012","862"
Peru,Venezuela (Bolivarian Republic of),"344","2342","862"
Costa Rica,Venezuela (Bolivarian Republic of),"340","754","862"
Italy,Venezuela (Bolivarian Republic of),"290","1715","862"
France,Venezuela (Bolivarian Republic of),"206","1172","862"
Germany,Venezuela (Bolivarian Republic of),"134","1330","862"
Belgium,Venezuela (Bolivarian Republic of),"69","357","862"
Colombia,Venezuela (Bolivarian Republic of),"62","728","862"
China,Viet Nam,"321502","709","704"
France,Viet Nam,"7854","1173","704"
Germany,Viet Nam,"1253","1331","704"
UK,Viet Nam,"1136","3201","704"
Switz.,Viet Nam,"963","2915","704"
Thailand,Viet Nam,"647","2961","704"
USA,Viet Nam,"269","3359","704"
Australia,Viet Nam,"237","171","704"
Czechia,Viet Nam,"70","858","704"
Sweden,Viet Nam,"62","2824","704"
Algeria,Western Sahara,"173600","18","732"
Mauritania,Western Sahara,"26001","1983","732"
France,Western Sahara,"527","1174","732"
Cuba,Western Sahara,"124","786","732"
Angola,Western Sahara,"18","34","732"
Spain,Western Sahara,"18","2700","732"
UK,Western Sahara,"11","3202","732"
Venezuela,Western Sahara,"11","3386","732"
Switz.,Western Sahara,"8","2916","732"
Greece,Western Sahara,"6","1422","732"
S. Africa,Yemen,"11437","2618","887"
Djibouti,Yemen,"4290","915","887"
Ethiopia,Yemen,"1662","1006","887"
Germany,Yemen,"1482","1332","887"
Sweden,Yemen,"1195","2825","887"
Canada,Yemen,"864","655","887"
Jordan,Yemen,"577","1754","887"
Morocco,Yemen,"572","2034","887"
USA,Yemen,"566","3360","887"
UK,Yemen,"530","3203","887"
UK,Zambia,"81","3204","894"
S. Africa,Zambia,"64","2637","894"
USA,Zambia,"43","3361","894"
Canada,Zambia,"28","656","894"
Sweden,Zambia,"11","2826","894"
Australia,Zambia,"9","173","894"
Germany,Zambia,"8","1333","894"
Netherlands,Zambia,"8","2144","894"
Angola,Zambia,"7","35","894"
UK,Zimbabwe,"7481","3205","716"
S. Africa,Zimbabwe,"4561","2638","716"
Canada,Zimbabwe,"1079","657","716"
USA,Zimbabwe,"990","3362","716"
Australia,Zimbabwe,"919","174","716"
Botswana,Zimbabwe,"667","389","716"
Ireland,Zimbabwe,"252","1615","716"
Germany,Zimbabwe,"178","1334","716"
Namibia,Zimbabwe,"53","2046","716"
France,Zimbabwe,"44","1176","716"
,,,,
,,,,
,,,,
