name,iso_n3,ref_type
Afghanistan,"004",Conflict
Angola,"024",None
Albania,"008",None
United Arab Emirates,"784",None
Argentina,"032",None
Armenia,"051",None
Antarctica,"010",None
Fr. S. Antarctic Lands,"260",None
Australia,"036",None
Austria,"040",None
Azerbaijan,"031",None
Burundi,"108",None
Belgium,"056",None
Benin,"204",None
Burkina Faso,"854",None
Bangladesh,"050",None
Bulgaria,"100",None
Bahamas,"044",None
Bosnia and Herz.,"070",None
Belarus,"112",None
Belize,"084",None
Bolivia,"068",None
Brazil,"076",None
Brunei,"096",None
Bhutan,"064",None
Botswana,"072",None
Central African Rep.,"140",Violence
Canada,"124",None
Switzerland,"756",None
Chile,"152",None
China,"156",None
Cï¿½te d'Ivoire,"384",None
Cameroon,"120",None
Dem. Rep. Congo,"180",Conflict
Congo,"178",None
Colombia,"170",None
Costa Rica,"188",None
Cuba,"192",None
N. Cyprus,"-99",None
Cyprus,"196",None
Czech Rep.,"203",None
Germany,"276",None
Djibouti,"262",None
Denmark,"208",None
Dominican Rep.,"214",None
Algeria,"012",None
Ecuador,"218",None
Egypt,"818",None
Eritrea,"232",None
Spain,"724",None
Estonia,"233",None
Ethiopia,"231",None
Finland,"246",None
Fiji,"242",None
Falkland Is.,"238",None
France,"250",None
Gabon,"266",None
United Kingdom,"826",None
Georgia,"268",None
Ghana,"288",None
Guinea,"324",None
Gambia,"270",None
Guinea-Bissau,"624",None
Eq. Guinea,"226",None
Greece,"300",None
Greenland,"304",None
Guatemala,"320",Violence
Guyana,"328",None
Honduras,"340",Violence
Croatia,"191",None
Haiti,"332",None
Hungary,"348",None
Indonesia,"360",None
India,"356",None
Ireland,"372",None
Iran,"364",None
Iraq,"368",None
Iceland,"352",None
Israel,"376",None
Italy,"380",None
Jamaica,"388",None
Jordan,"400",None
Japan,"392",None
Kazakhstan,"398",None
Kenya,"404",None
Kyrgyzstan,"417",None
Cambodia,"116",None
Korea,"410",None
Kosovo,"-99",None
Kuwait,"414",None
Lao PDR,"418",None
Lebanon,"422",None
Liberia,"430",None
Libya,"434",None
Sri Lanka,"144",None
Lesotho,"426",None
Lithuania,"440",None
Luxembourg,"442",None
Latvia,"428",None
Morocco,"504",None
Moldova,"498",None
Madagascar,"450",None
Mexico,"484",None
Macedonia,"807",None
Mali,"466",None
Myanmar,"104",Violence
Montenegro,"499",None
Mongolia,"496",None
Mozambique,"508",Environment
Mauritania,"478",None
Malawi,"454",None
Malaysia,"458",None
Namibia,"516",None
New Caledonia,"540",None
Niger,"562",None
Nigeria,"566",None
Nicaragua,"558",None
Netherlands,"528",None
Norway,"578",None
Nepal,"524",None
New Zealand,"554",None
Oman,"512",None
Pakistan,"586",None
Panama,"591",None
Peru,"604",None
Philippines,"608",None
Papua New Guinea,"598",None
Poland,"616",None
Puerto Rico,"630",None
Dem. Rep. Korea,"408",None
Portugal,"620",None
Paraguay,"600",None
Palestine,"275",Conflict
Qatar,"634",None
Romania,"642",None
Russia,"643",None
Rwanda,"646",None
W. Sahara,"732",Conflict
Saudi Arabia,"682",None
Sudan,"729",None
S. Sudan,"728",Violence
Senegal,"686",None
Solomon Is.,"090",None
Sierra Leone,"694",None
El Salvador,"222",Violence
Somaliland,"-99",Violence
Somalia,"706",Violence
Serbia,"688",None
Suriname,"740",None
Slovakia,"703",None
Slovenia,"705",None
Sweden,"752",None
Swaziland,"748",None
Syria,"760",Conflict
Chad,"148",None
Togo,"768",None
Thailand,"764",None
Tajikistan,"762",None
Turkmenistan,"795",None
Timor-Leste,"626",None
Trinidad and Tobago,"780",None
Tunisia,"788",None
Turkey,"792",None
Taiwan,"158",None
Tanzania,"834",None
Uganda,"800",None
Ukraine,"804",None
Uruguay,"858",None
United States,"840",None
Uzbekistan,"860",None
Venezuela,"862",Conflict
Vietnam,"704",None
Vanuatu,"548",None
Yemen,"887",Conflict
South Africa,"710",None
Zambia,"894",None
Zimbabwe,"716",None
